Block,Timestamp,tri_usdt_oracle_new,tri_usdt_ref,tri_usdc_oracle_new,tri_usdc_ref,tri_llama_oracle_new,tri_llama_ref,tri_lsd_oracle_new,tri_lsd_ref,tri_crv_oracle_new,tri_crv_ref
18325000,1697000639,1048.2826381678578,1047.6722413636674,1047.9539591489474,1048.7504829151198,1092.9922617095383,1094.4617572720965,5145.879149197032,5128.91352106545,26.996629203482055,26.95889997478533
18325220,1697003303,1046.9980258185499,1045.8705061778394,1047.1389578956607,1046.9589553341625,1092.9922617095383,1093.4905233851869,5132.218431988494,5106.714801241446,26.959901103994916,26.912673405526313
18325440,1697005943,1046.9949583309915,1046.5027037561974,1046.9272968876503,1047.5884880216167,1092.9922617095383,1093.3248998197332,5132.218431988494,5114.551520036138,26.969158911991908,26.932998914024115
18325660,1697008655,1046.9949583309915,1045.6981297066893,1046.379362078409,1046.7838879040285,1092.9922617095383,1092.3829500863642,5125.611625347966,5108.949068492266,26.9777372833201,27.02289406827748
18325880,1697011331,1046.9949583309915,1045.4216978347104,1047.2215652171608,1046.5288364369762,1092.9922617095383,1092.2350270599081,5133.0447642669815,5115.222957414615,26.990304226117477,27.03375535774154
18326100,1697013983,1046.9949583309915,1045.4216978347104,1047.2824383690083,1046.530019934554,1092.0952275911072,1093.3047857021697,5148.092263123806,5127.689591051924,27.00160228230261,27.03376833387679
18326320,1697016683,1047.8686183902737,1047.8677483001184,1049.9450760047503,1048.9710141859912,1093.7742774704147,1094.3490053538594,5148.092263123806,5142.0901166526255,27.07619289675765,27.07092837054473
18326540,1697019335,1049.2061701042992,1053.0129623360383,1053.5738495547132,1054.1033803312948,1096.1522220685843,1099.2945285246874,5185.42535631496,5183.305245626069,27.199287285588493,27.238897292831535
18326760,1697021975,1049.2061701042992,1053.0094786756404,1054.0064638342876,1054.1013943184505,1098.644572425222,1100.062078006254,5194.259335019552,5184.6982712637655,27.182288091832316,27.235288284344772
18326980,1697024627,1049.2061701042992,1053.0094786756404,1053.9917172944843,1054.1019413841618,1098.644572425222,1099.4025096756352,5184.9349425296905,5181.740274439844,27.193335754840206,27.235305193157657
18327200,1697027267,1049.2061701042992,1051.2304340186272,1053.2895680173785,1052.324435462666,1098.644572425222,1098.3050452559035,5185.406288105222,5174.927571538087,27.178256750771467,27.217507631887436
18327420,1697029907,1050.7173631943194,1050.642983459268,1051.65329108663,1051.744167341553,1097.7393718954568,1096.9553903572425,5171.551011936947,5168.2684688434065,27.134522938151584,27.211180461928052
18327640,1697032571,1050.7173631943194,1050.1141310030614,1050.4384058150297,1051.213828529516,1097.7393718954568,1096.685549484376,5175.244353719669,5169.235836494197,27.145757787138685,27.210596807948107
18327860,1697035211,1050.6660127347589,1050.3768981595751,1051.6192074143332,1051.4771214580778,1097.7393718954568,1096.9599262837896,5176.539134144765,5170.5291136645765,27.160186168525755,27.217398308711033
18328080,1697037887,1050.7580304761861,1047.7578727574537,1050.7635496405771,1048.866845941259,1096.6213914785262,1096.1881691896335,5174.395558710444,5149.600592091061,27.142201916612812,27.165289468401976
18328300,1697040587,1046.0347393239167,1043.6063409777676,1045.3837241258316,1044.7067040237355,1092.9668974766143,1089.484546410257,5132.091791270057,5130.11868441727,27.0108401619412,27.051416658710902
18328520,1697043287,1043.666252090814,1039.5298529330576,1043.2098551849078,1040.76333355784,1090.3922851280997,1087.4090888712133,5133.457253259079,5111.878861703828,26.997916980827082,27.00331053502491
18328740,1697045987,1043.187255241304,1039.858509642903,1042.1449651268683,1041.091987648856,1088.5163699023828,1087.4558797819302,5133.457253259079,5123.542812536373,26.960422213813086,27.010598640062327
18328960,1697048639,1042.4646991014047,1039.4570896926184,1041.249112093236,1040.6895953310884,1087.8510124601678,1086.3760651716607,5126.433569268995,5122.871269228766,26.95701172016392,27.01459174330929
18329180,1697051339,1042.4646991014047,1040.4724259869472,1041.2799311508165,1041.7037017506623,1087.8510124601678,1086.5333545080637,5123.292210532441,5128.410654907524,26.980076447633454,27.03136776320679
18329400,1697054003,1041.3953811675597,1043.9784661509536,1043.7923438736202,1045.202676120769,1087.2793304541824,1090.1909068980926,5149.126872142949,5154.205423257227,26.983338216611088,27.07675507659045
18329620,1697056667,1042.5845099425185,1043.8272023725874,1044.909966834757,1045.0524340378292,1087.2793304541824,1090.1544129521671,5149.126872142949,5153.036509302153,27.005244845129543,27.07377951609849
18329840,1697059331,1042.7389270253805,1042.7026686067493,1044.3996838183327,1043.928350730722,1087.2793304541824,1089.3368079957131,5150.2209239824415,5150.699575702088,27.008208073610437,27.066820901006164
18330060,1697061983,1042.7389270253805,1042.4333904049292,1044.105393408972,1043.6590900085203,1087.2793304541824,1089.3769240273039,5154.5020444826605,5151.876844593496,27.042126305666944,27.06638862614477
18330280,1697064647,1042.7212143890495,1042.4340378345807,1045.0717151427534,1043.6615005560764,1087.2793304541824,1090.2511126537354,5166.884055571479,5155.804816256455,27.07411058185262,27.066450308536556
18330500,1697067299,1042.7212143890495,1044.2485657615093,1045.571086483284,1045.471274493899,1087.2793304541824,1091.471953672208,5166.884055571479,5162.283986381055,27.117899579992883,27.08312586115059
18330720,1697069951,1042.7212143890495,1044.8789133509774,1046.6393532934221,1046.1040444354487,1089.3853344184638,1092.1183621929472,5163.299177095126,5158.813860393663,27.124019005464483,27.077170148046548
